,uuid,multiple_session_conducted,test_group
452,1402508,False,test
453,140259,True,control
454,1402600,False,control
455,1403177,True,test
456,1403464,False,test
457,1404791,True,test
458,1405679,False,control
459,1406285,False,control
460,140674,False,control
461,1406897,False,control
462,1407995,True,control
463,1409466,False,test
464,1410513,False,control
465,1411321,False,test
466,1415871,True,control
467,1416330,True,test
468,1416480,True,test
469,1416874,False,test
470,1417085,True,test
471,1417723,False,control
472,1417957,False,test
473,1419260,False,control
474,1419393,False,control
475,1420119,False,control
476,1421047,False,control
477,1421160,False,control
478,1423030,False,test
479,1424098,False,control
480,1424361,False,control
481,1426192,False,test
482,1426437,False,test
483,1428334,False,control
484,1428889,True,control
485,1429740,False,control
486,1431656,False,control
487,1432231,False,test
488,1433825,False,test
489,1433867,False,control
490,1434007,False,control
491,1435162,False,control
492,1439624,False,control
493,1439704,True,test
494,1440152,False,control
495,1440665,False,control
496,1440962,False,test
497,144223,False,test
498,1443068,False,control
499,1444733,False,control
500,1445374,False,test
501,1445385,True,test
502,1445487,False,control
503,1446393,False,control
504,1448529,True,test
505,1448710,True,control
506,144884,False,control
507,1449076,False,control
508,1449732,False,test
509,1451747,False,control
510,1451772,False,control
511,1451895,True,control
512,1452214,False,control
513,1453225,False,control
514,1454212,False,control
515,1456283,False,test
516,1459138,False,test
517,145925,False,control
518,1459851,False,control
519,1459929,False,control
520,1460009,False,control
521,14613,False,control
522,1461768,False,test
523,1464521,True,control
524,1465255,False,test
525,1467619,False,test
526,146766,False,test
527,1469175,False,test
528,1469661,False,test
529,1470011,False,control
530,1471518,False,test
531,1472429,False,test
532,1473124,False,test
533,1473576,False,control
534,1475798,False,control
535,1476256,False,control
536,1478014,False,control
537,1480425,True,control
538,1480615,True,control
539,1481077,False,control
540,1483437,False,control
541,1483529,False,test
542,1484312,False,control
543,1484569,False,control
544,1486113,False,control
545,1488450,False,control
546,1488810,False,test
547,1488853,False,test
548,1489295,False,test
549,1489445,False,control
550,1490125,True,test
551,149083,False,control
552,1490931,False,control
553,1492414,True,test
554,1493403,False,test
555,1495404,False,test
556,1495767,False,test
557,1496151,True,control
558,1497155,False,control
559,1498277,False,control
560,1499304,False,control
561,1500561,False,test
562,1501312,False,control
563,150147,False,control
564,1501554,False,control
565,1502310,False,control
566,1502495,False,control
567,1505894,False,control
568,1506213,False,control
569,15067,False,control
570,1507453,False,test
571,1510098,True,test
572,1510285,False,control
573,1510738,False,test
574,1511385,True,control
575,1513281,False,test
576,1514430,False,test
577,1515041,False,test
578,1518211,False,control
579,1518427,False,control
580,1520337,False,test
581,1521036,True,test
582,1521114,False,control
583,1521763,True,control
584,15218,False,test
585,1522926,False,control
586,1523992,False,control
587,1525014,False,control
588,1526838,False,control
589,1528485,False,control
590,1528649,False,test
591,1529305,False,test
592,1530051,False,control
593,1530358,True,control
594,153298,False,control
595,1534292,False,test
596,153478,True,test
597,1535204,False,test
598,1537721,False,control
599,1540893,False,control
600,1541921,False,control
601,1542526,False,test
602,1542633,False,control
603,1543976,False,control
604,1544189,False,control
605,1545809,False,control
606,1546014,False,control
607,1546670,False,control
608,1547066,False,test
609,1548060,True,control
610,1548560,False,control
611,1548621,False,control
612,1549375,False,test
613,154951,False,control
614,1550122,True,test
615,1550298,False,control
616,1550390,True,control
617,1550561,False,test
618,1551140,False,test
619,1552056,False,control
620,1553116,False,control
621,1553352,False,control
622,1554311,True,test
623,1554329,False,test
624,1557715,False,control
625,1559225,False,control
626,1559386,False,control
627,155945,True,test
628,155966,False,control
629,1561157,False,control
630,1561321,False,test
631,1561520,False,test
632,1562435,False,test
633,1563495,False,control
634,15640,False,test
635,1566666,False,control
636,156813,False,control
637,1568393,False,control
638,157234,False,test
639,1574747,False,control
640,1575428,False,test
641,1575598,False,test
642,1576306,True,control
643,157850,False,control
644,1579511,False,test
645,1580033,False,control
646,1581594,False,test
647,1584175,True,test
648,1584851,False,control
649,158595,True,control
650,1586267,False,test
651,1587128,False,control
652,1588239,False,control
653,1588966,True,test
654,158945,False,control
655,1589648,False,control
656,1590116,False,control
657,1591237,True,control
658,1591483,False,control
659,1592296,False,test
660,1592352,True,control
661,1592882,False,test
662,1595849,False,control
663,1596722,False,control
664,1596806,False,control
665,1597166,False,test
666,1599129,False,control
